"plant_id","datetime","treatment","genotype","group","date","dap","solidity","sv_area","tv_area","extent_x","extent_y","height_above_bound","fw_biomass","dw_biomass","height_width_ratio","tiller_count","wue"
"Dr8AA000901",1387212401,100,"R187","R187-100","2013-12-16 10:46:41",20,0.227822670906,230961.981242632,156144.423317702,29.3853118923664,17.5464072556686,17.4858501987034,8.40166446917814,0.972760916554504,0.595054095826893,5.80476793327814,332.319397471413
"Dr4AD000568",1387212620,33,"R102","R102-33","2013-12-16 10:50:20",20,0.230817748658,117459.823128306,61536.6423442569,13.1862991541737,17.516128727186,17.4707109344621,4.13992878989292,0.470560479365105,1.32491389207807,3.26987080865608,268.786780613972
"Dp1AA000018",1387212768,100,"A10","A10-100","2013-12-16 10:52:48",20,0.192268357488,178737.581189086,151800.89925071,24.9646467339064,14.2460476510648,12.0357150718348,6.44076264374076,0.741689393558195,0.482110369921164,5.62090648175837,262.849384101596
"Dr6AD000774",1387212986,33,"R133","R133-33","2013-12-16 10:56:26",20,0.193554398495,113867.518998266,72378.8451988309,17.2890397635664,17.4858501987034,17.4707109344621,4.0050463265444,0.454666008858156,1.01050788091068,3.92855005285648,230.501050603778
"Dr5AA000604",1387213132,100,"R128","R128-100","2013-12-16 10:58:52",20,0.219456974109,140588.40076779,99435.0997901321,21.7551227147504,17.5312679914273,17.4858501987034,5.00835178884616,0.572894937097779,0.803757828810021,4.60178237094644,198.571187525127
"Dr5AD000676",1387213351,33,"R128","R128-33","2013-12-16 11:02:31",20,0.231457370731,147842.475045283,80416.2152519187,16.8197225720861,17.5009894629447,17.4707109344621,5.28072499903164,0.604991236710798,1.03870387038704,4.14729557220397,332.230281000637
"Dr7AA000807",1387213570,100,"R161","R161-100","2013-12-16 11:06:10",20,0.151063053411,132170.296203958,133075.821802543,23.7383663303609,16.8197225720861,15.4723280546102,4.69227201408539,0.535648281505519,0.651785714285714,4.86500329538969,210.462255101844
"Dr5AD000678",1387213716,33,"R128","R128-33","2013-12-16 11:08:36",20,0.216756405122,150774.092818443,99838.4202464292,19.4388152858313,17.7583569550468,17.4707109344621,5.39080026340958,0.617962441415735,0.898753894080997,4.47789225908793,287.736818355808
"Dr4AA000517",1387213935,100,"R102","R102-100","2013-12-16 11:12:15",20,0.255153354666,181275.178601176,95203.746259456,17.8946103332185,17.516128727186,17.4707109344621,6.53604338210235,0.752917219979599,0.976311336717428,4.55989176424534,305.177068352148
"Dr3AD000462",1387214153,33,"R98","R98-33","2013-12-16 11:15:53",20,0.173098874759,159833.903952977,120036.139304201,24.798114827252,17.6523821053577,17.4858501987034,5.73097459137907,0.658048385050685,0.705128205128205,4.97659264553697,319.029748409135
"Dp1AA000007",1387214299,100,"A10","A10-100","2013-12-16 11:18:19",20,0.17129499227,223488.690434775,176441.027061465,31.8378726994573,20.5137030469637,17.4858501987034,8.1210602004431,0.939694673821312,0.549215406562054,5.84342872616309,320.184370250394
"Dr8AA000913",1387214372,100,"R187","R187-100","2013-12-16 11:19:32",20,0.223087886653,265020.448348836,184667.24598703,26.8267762355865,18.3639275246989,17.4858501987034,9.6804787830176,1.12345564654816,0.651805869074492,5.96168515041442,364.539818911741
"Dr6AD000773",1387214590,33,"R133","R133-33","2013-12-16 11:23:10",20,0.199022356615,150935.610798824,91302.4512104272,20.7862098033071,17.5009894629447,17.4707109344621,5.39686487884307,0.618677092147568,0.840495265841224,4.60677236229242,288.595814146891
"Dr4AD000571",1387214951,33,"R102","R102-33","2013-12-16 11:29:11",20,0.236093911717,103965.764548846,49062.5574740396,12.3839181493847,16.3958231733296,16.3806839090883,3.6332590325785,0.410854811819664,1.32273838630807,3.16323535798765,230.012753426651
"Dr5AA000608",1387215097,100,"R128","R128-100","2013-12-16 11:31:37",20,0.196386057327,157931.749782149,120646.149631984,22.436389605609,18.1822563538032,17.4707109344621,5.65955323312478,0.649632134011395,0.778677462887989,4.79986689831769,216.641632074278
"Dp2AD000172",1387215316,33,"B100","B100-33","2013-12-16 11:35:16",20,0.244644783016,161859.80632969,102951.294977595,16.8045833078448,17.5009894629447,17.4707109344621,5.80704240000073,0.667012171080758,1.03963963963964,4.26096500656114,403.640414787256
"Dr1AA000213",1387215535,100,"R20","R20-100","2013-12-16 11:38:55",20,0.140153523101,94059.4549507431,42452.6571394507,19.7416005706573,17.516128727186,17.4707109344621,3.26130070362975,0.367023460118934,0.884969325153374,4.03987125974323,153.191294708051
"Dp1AD000067",1387215753,33,"A10","A10-33","2013-12-16 11:42:33",20,0.190668886303,193235.290861674,163332.447939294,25.7821670029366,17.4555716702208,16.8045833078448,6.9851171089427,0.805835805016605,0.651790957134469,5.36910539957382,416.455368236367
"Dr5AD000664",1387225269,33,"R128","R128-33","2013-12-16 14:21:09",20,0.222965439433,206869.230465271,111781.260901505,23.2539098746393,17.5009894629447,17.4707109344621,7.49703906552208,0.866160388648252,0.751302083333333,5.26379690840911,347.679378933229
"Dr3AD000480",1387225632,33,"R98","R98-33","2013-12-16 14:27:12",20,0.229097052559,166104.825306414,95838.620107133,20.3168926118268,17.5009894629447,17.4707109344621,5.96643275109985,0.685794636730804,0.859910581222057,4.68949338963512,314.592472171239
"Dr4AA000501",1387225778,100,"R102","R102-100","2013-12-16 14:29:38",20,0.233577136949,137239.986890146,66736.7241614931,16.0930378885036,17.516128727186,17.4858501987034,4.88262682353762,0.558079580798123,1.0865475070555,3.95502322734742,215.447389152506
"Dp2AD000169",1387225997,33,"B100","B100-33","2013-12-16 14:33:17",20,0.245247898435,131611.151703134,83648.8524338724,15.4420495261276,15.9416452460906,15.911366717608,4.67127746994079,0.533174296715881,1.03039215686274,4.03149712785525,340.080495356935
"Dr2AA000302",1387226216,100,"R70","R70-100","2013-12-16 14:36:56",20,0.265367837259,340620.732655775,258690.879456106,32.7159500254528,17.6372428411164,17.4858501987034,12.5190893816853,1.45795585748112,0.534474780194355,6.84266796437592,449.961337722292
"Dr4AD000574",1387226434,33,"R102","R102-33","2013-12-16 14:40:34",20,0.257741293651,102908.970054417,62065.0395914715,14.3974402934778,13.4890844389997,13.4285273820345,3.59357891655776,0.406178930180593,0.932702418506835,4.00842424078474,227.172119325424
"Dr5AA000613",1387226653,100,"R128","R128-100","2013-12-16 14:44:13",20,0.220140794115,178241.259780513,105369.31973676,20.0595251197246,17.5464072556686,17.4707109344621,6.42212695706794,0.739493375151915,0.870943396226415,4.76552968883947,260.206218657683
"Dr1AD000166",1387226875,33,"R20","R20-33","2013-12-16 14:47:55",20,0.197164197819,221263.500303186,154407.962680214,28.0833351676145,17.5312679914273,17.4858501987034,8.03750961132184,0.929849121318355,0.622641509433962,5.66430582575379,422.258588364859
