 ,Label,Circ.,AR,Round,Solidity
313,apple_380.jpg,0.378,1.732,0.577,0.786
314,apple_381.jpg,0.438,1.440,0.694,0.795
315,apple_382.jpg,0.373,1.850,0.540,0.767
316,apple_383.jpg,0.455,1.715,0.583,0.818
317,apple_384.jpg,0.454,1.431,0.699,0.804
318,apple_385.jpg,0.419,1.752,0.571,0.802
319,apple_386.jpg,0.425,1.569,0.637,0.799
320,apple_387.jpg,0.396,1.884,0.531,0.793
321,apple_388.jpg,0.418,1.433,0.698,0.765
322,apple_389.jpg,0.449,1.573,0.636,0.831
323,apple_39.jpg,0.312,2.765,0.362,0.780
324,apple_390.jpg,0.378,1.823,0.549,0.772
325,apple_4.jpg,0.378,1.946,0.514,0.810
326,apple_40.jpg,0.335,2.023,0.494,0.779
327,apple_41.jpg,0.421,1.737,0.576,0.835
328,apple_42.jpg,0.339,2.145,0.466,0.794
329,apple_43.jpg,0.409,1.694,0.590,0.839
330,apple_44.jpg,0.347,1.769,0.565,0.807
331,apple_45.jpg,0.403,1.703,0.587,0.815
332,apple_46.jpg,0.434,1.480,0.676,0.851
333,apple_47.jpg,0.360,1.750,0.571,0.782
334,apple_48.jpg,0.391,1.643,0.609,0.811
335,apple_49.jpg,0.423,1.452,0.688,0.821
336,apple_5.jpg,0.342,2.217,0.451,0.797
337,apple_50.jpg,0.391,1.824,0.548,0.793
338,apple_51.jpg,0.310,2.215,0.451,0.761
339,apple_52.jpg,0.337,1.951,0.513,0.774
340,apple_53.jpg,0.413,1.753,0.570,0.826
341,apple_54.jpg,0.340,2.011,0.497,0.762
342,apple_55.jpg,0.356,2.019,0.495,0.785
343,apple_56.jpg,0.360,2.092,0.478,0.813
344,apple_57.jpg,0.345,2.376,0.421,0.809
345,apple_58.jpg,0.370,1.970,0.508,0.840
346,apple_59.jpg,0.373,1.886,0.530,0.820
347,apple_6.jpg,0.432,1.867,0.536,0.844
348,apple_60.jpg,0.451,1.710,0.585,0.824
349,apple_61.jpg,0.437,1.777,0.563,0.818
350,apple_62.jpg,0.458,1.749,0.572,0.812
351,apple_63.jpg,0.438,1.760,0.568,0.830
352,apple_64.jpg,0.505,1.534,0.652,0.864
353,apple_65.jpg,0.448,1.851,0.540,0.829
354,apple_66.jpg,0.381,2.073,0.482,0.801
355,apple_67.jpg,0.475,1.487,0.672,0.858
356,apple_68.jpg,0.404,2.054,0.487,0.813
357,apple_69.jpg,0.493,1.477,0.677,0.858
358,apple_7.jpg,0.404,1.727,0.579,0.781
359,apple_70.jpg,0.394,2.035,0.491,0.807
360,apple_71.jpg,0.394,1.824,0.548,0.850
361,apple_72.jpg,0.393,1.920,0.521,0.808
362,apple_73.jpg,0.353,2.619,0.382,0.803
363,apple_74.jpg,0.455,1.858,0.538,0.857
364,apple_75.jpg,0.455,1.682,0.594,0.844
365,apple_76.jpg,0.416,2.009,0.498,0.829
366,apple_77.jpg,0.436,1.583,0.632,0.842
